ID,SOURCEID,Site Name,Address,Type,BlockLot,RecordType,YearStarted,ApproxAddress,GardenType,Management,SqFeet,BGS_Relate,NHOOD,Conserval,ConsValue,Motivations,Uses,CCD,LD,Watershed,OwnType,Permission,Fence,FenceLock,FenceHours,Water
186,BGS_114,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 055,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
304,BGS_128,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 061,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
303,BGS_127,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 062,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
302,BGS_126,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 063,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
301,BGS_125,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 064,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
300,BGS_124,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 065,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
299,BGS_123,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 066,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
298,BGS_122,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 067,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
297,BGS_121,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 068,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
296,BGS_120,Bruce Street Park,1303-1326 N. Bruce St.,Garden,0032 069,Community Managed Site,2006,"Bruce St, Laurens St, and Fulton Ave.",Garden,Community Managed,11430,Minor Contact,Sandtown-Winchester,Food Production; Gathering Space; Trees,,Air Quality; Beautification; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality,Active Recreational; Art Inc.; Children's Activities; Container Gardening; Income-Generating; Trees,7,40,,City Owned,,Yes,No,,Neighbor
