"Site: Site Name","Lot: Lot Number","Block Number","Block Lot Number","Year Started","Site: ID","Lot: ID","City","Dimensions","Lot Number","MCC","No Actual Address","Owner City","Owner Name","Owner State","Owner Street Address","Owner Zip","Square Feet","State","Street Address","Zip","Lot: Created Date","Lot: Last Modified Date","Additional Block/Lot Numbers","Address, if Available","Approximate Address","City","City Council District","Conservation Value","Conservation Value, if Other","Date Added","Directions to Site","Fence","GPS Coordinates","If Fence, Hours Posted","If Fence, Locked","Legislative District","Management","Motivations","Neighborhood","Notes","Owner","Ownership Type","Permission","Primary Block/Lot Number","QCMOS","Relationship to BGS","Site Record Number","Source","Square Feet","State","Type","Uses","Watershed","Zip Code","Zoning Type","Site: Record Type","Site: Owner Role","Site: Created Date","Site: Last Modified Date","Site: Last Activity Date"
"Sunflower Village","024","0168","0168 024","2010","a0Kd00000077YKc","a0Pd000000bcTCg","Baltimore","20x120","","Yes","0","Baltimore","Mayor and City Council","MD","417 East Fayette","21202","2400","MD","216 North Carey St","21223","9/15/2015","9/15/2015","","216 - 224 N. Carey","","Baltimore","9","Relief from Built Environment; Habitat","","","","","","","","44","Community Managed","","Poppleton","220 recently included in an LDA with a developer; currently removed. 216 and 224 included in a past LDA. This may expire if insufficient progress is made on other aspects of the development. Site has received $34K in funding, including from BOPA/PNC.","","Mixed","","","1","Not Really Connected","Property # 2013 - 0267","Nonprofit","19577","MD","Garden","Art Inc.; Beauty; Flower Beds","Direct Harbor","21223-1871","","Community Managed Site","System Administrator","4/15/2013","9/15/2015","5/13/2014"
"Brentwood Avenue Garden","038","3884","3884 038","","a0Kd0000002BLQ4","a0Pd000000LRg7C","Baltimore","11-2x60","","Yes","0","Baltimore","Mayor and City Council","MD","417 East Fayette Street","21202","670","MD","3409 Brentwood Ave","21218","7/18/2013","7/18/2013","","3409-3415 Brentwood","Brentwood Avenue, north of Venable","Baltimore","14","Food Production","","5/1/2012","","Yes","","","","43","","","Oakenshawe","right now this is a clean and green and they are not interested in getting the land protected.  they are interested in purchasing it and are hitting walls with the city.
7/11/13 visited and the area was fenced and food was being grown. However the weeds and grass were growing in as though the land had been abandoned
5.2.14 visited. Lots of new trees (fruit trees?) set fairly closely together. Compost bins
9.21.15 visited. Looks tended but not loved. Learned that Mark Counselman has moved, but a new group is involved. Asked about QCMOS -- do they want to be included?","","","","","0","","Property # 2012 - 0031","Person Involved in Project","2920","MD","Garden","","Jones Falls","21218","","Community Managed Site","System Administrator","5/1/2012","9/21/2015",""
"Brentwood Avenue Garden","040","3884","3884 040","","a0Kd0000002BLQ4","a0Pd000000LRg7b","Baltimore","12-3x60","","Yes","0","Baltimore","Mayor and City Council","MD","417 East Fayette Street","21202","735","MD","3413 Brentwood Ave","21218","7/18/2013","7/18/2013","","3409-3415 Brentwood","Brentwood Avenue, north of Venable","Baltimore","14","Food Production","","5/1/2012","","Yes","","","","43","","","Oakenshawe","right now this is a clean and green and they are not interested in getting the land protected.  they are interested in purchasing it and are hitting walls with the city.
7/11/13 visited and the area was fenced and food was being grown. However the weeds and grass were growing in as though the land had been abandoned
5.2.14 visited. Lots of new trees (fruit trees?) set fairly closely together. Compost bins
9.21.15 visited. Looks tended but not loved. Learned that Mark Counselman has moved, but a new group is involved. Asked about QCMOS -- do they want to be included?","","","","","0","","Property # 2012 - 0031","Person Involved in Project","2920","MD","Garden","","Jones Falls","21218","","Community Managed Site","System Administrator","5/1/2012","9/21/2015",""
"Brentwood Avenue Garden","041","3884","3884 041","","a0Kd0000002BLQ4","a0Pd000000LRg80","Baltimore","13-9x60","","Yes","0","Baltimore","Mayor and City Council","MD","417 East Fayette Street","21202","825","MD","3415 Brentwood Ave","21218","7/18/2013","7/18/2013","","3409-3415 Brentwood","Brentwood Avenue, north of Venable","Baltimore","14","Food Production","","5/1/2012","","Yes","","","","43","","","Oakenshawe","right now this is a clean and green and they are not interested in getting the land protected.  they are interested in purchasing it and are hitting walls with the city.
7/11/13 visited and the area was fenced and food was being grown. However the weeds and grass were growing in as though the land had been abandoned
5.2.14 visited. Lots of new trees (fruit trees?) set fairly closely together. Compost bins
9.21.15 visited. Looks tended but not loved. Learned that Mark Counselman has moved, but a new group is involved. Asked about QCMOS -- do they want to be included?","","","","","0","","Property # 2012 - 0031","Person Involved in Project","2920","MD","Garden","","Jones Falls","21218","","Community Managed Site","System Administrator","5/1/2012","9/21/2015",""
"Brentwood Avenue Garden","039","3884","3884 039","","a0Kd0000002BLQ4","a0Pd000000LRg7R","Baltimore","11-6x60","","Yes","0","Baltimore","Mayor and City Council","MD","417 East Fayette Street","21202","690","MD","3411 Brentwood Ave","21218","7/18/2013","7/18/2013","","3409-3415 Brentwood","Brentwood Avenue, north of Venable","Baltimore","14","Food Production","","5/1/2012","","Yes","","","","43","","","Oakenshawe","right now this is a clean and green and they are not interested in getting the land protected.  they are interested in purchasing it and are hitting walls with the city.
7/11/13 visited and the area was fenced and food was being grown. However the weeds and grass were growing in as though the land had been abandoned
5.2.14 visited. Lots of new trees (fruit trees?) set fairly closely together. Compost bins
9.21.15 visited. Looks tended but not loved. Learned that Mark Counselman has moved, but a new group is involved. Asked about QCMOS -- do they want to be included?","","","","","0","","Property # 2012 - 0031","Person Involved in Project","2920","MD","Garden","","Jones Falls","21218","","Community Managed Site","System Administrator","5/1/2012","9/21/2015",""
"Oakenshawe Green Space","041","3734","3734 041","1975","a0Kd0000002Aru1","a0Pd000000M1PC5","Baltimore","","","No","1","Baltimore","Oakenshawe Greenspace Inc","MD","3411 University Pl","21218","11020","MD","","","7/25/2013","9/17/2015","","","3200 block Barclay Street
Barclay and Calvin","Baltimore","14","Gathering Space; Relief from Built Environment; Stormwater Management; Trees; Habitat","","","","No","","","","46","Community Managed","Active Recreation; Beautification; Neighborhood Sociability; Property Value","Oakenshawe","owned by an LLC set up by Community Law Center for that purpose.","","Privately Owned","Private Agreement","","1","Minor Contact","Property # 2012 - 0025","Person Involved in Project","11020","MD","Clean and Green","Active Recreational; Beauty; Trees","Jones Falls","21218","","Community Managed Site","System Administrator","3/30/2012","3/28/2014",""
"Argonne Valley","050","3949A","3949A 050","","a0Kd000000LoU1N","a0Pd000000Zmzxo","Baltimore","","","","1","Baltimore","Michael Greenway","MD","2812 Parkview Terrace","21214","172497","MD","","","5/5/2015","5/5/2015","","","The larger parcel can be reached by walking down the Elsrode-Harford alley off of Overland Ave.","Baltimore","3","Trees; Habitat","","","","","","","","43","","","Morgan Park","Thayer Young attended a presentation we gave at the 2015 MET conference. He lives in the City and is interested in forests. He wanted to know how this site might get connected with us.","","Privately Owned","","","0","Not Really Connected","Property # 2015 - 0350","Other","207337","MD","Forest","","Herring Run","","","Community Managed Site","System Administrator","5/5/2015","7/23/2015","5/4/2015"
"Pigtown Food for Thought","051","0780","0780 051","2012","a0Kd0000002DRvE","a0Pd0000005QhRM","Baltimore","14X66","","No","0","Stafford","Liam Riley","VA","P.O. Box 435","22555","924","MD","1172 Carroll Street","21230","9/17/2012","2/7/2014","","1172 Carroll Street","","Baltimore","10","Food Production; Gathering Space; Relief from Built Environment","","7/25/2012","","No","","","","44","Community Managed","Beautification; Bees; Birds; Butterflies; Connecting to the Land; Education; Food; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Tradition ""In My Blood""","Washington Village/Pigtown","came to PPF presentation 7.24.12","","","Self-Help Abatement","","1","","Property # 2012 - 0198","Person Involved in Project","924","MD","Garden","Art Inc.; Beauty; Children's Activities; Container Gardening; Flower Beds; Food Grown - Co-op; Food Grown - Individual Plots; Food Grown - Organic","Direct Harbor","21230","R-8","Community Managed Site","System Administrator","7/25/2012","3/18/2015",""
"Argonne Valley","001","3949A","3949A 001","","a0Kd000000LoU1N","a0Pd000000Zmzy3","Baltimore","","","","1","Baltimore","Nydia E. Gonzalez-Aviles","MD","2812 Parkview Terrace","21214","34840","MD","","","5/5/2015","5/5/2015","","","The larger parcel can be reached by walking down the Elsrode-Harford alley off of Overland Ave.","Baltimore","3","Trees; Habitat","","","","","","","","43","","","Morgan Park","Thayer Young attended a presentation we gave at the 2015 MET conference. He lives in the City and is interested in forests. He wanted to know how this site might get connected with us.","","Privately Owned","","","0","Not Really Connected","Property # 2015 - 0350","Other","207337","MD","Forest","","Herring Run","","","Community Managed Site","System Administrator","5/5/2015","7/23/2015","5/4/2015"
"1718 Guilford Avenue","033","0410","0410 033","","a0Kd000000ISGrC","a0Pd000000Zjsxc","Baltimore","20X100","","Yes","0","","MCC","","","","200","MD","1718 Guilford","21202","1/28/2015","1/28/2015","","1718 Guilford Avenue","","Baltimore","12","","","","","","","","","45","","","New Greenmount West","","","","","","0","Minor Contact","Property # 2015 - 0343","Community Organization","200","MD","Garden","","Jones Falls","21202","","Community Managed Site","System Administrator","1/28/2015","8/19/2015","3/19/2015"
