site_id,site_name,address,point_x,point_y,sw_siteuse,status,drain_acres,pct_imp,imp_acres,an_runoff,retrofit_type,bmp_type,feasibility,design_difficulty,watershed_benefit,priority,oldsiteid,src_dpwms4
1,,pep boys harford rd and moravia rd,-76.56891258,39.34191187,dry swale to replace existing failed grass channel and treat parking lot runoff,identified,0.75,100,0.75,97764.975,on site,dry swale,high,low,low,high,hr_r_21,TRUE
2,,chinquapin ms,-76.57461707,39.33037024,limited retrofit potential,identified,0,0,0,0,,,very low,,,very low,hr_r_13,TRUE
3,,north harford recreation center northern pkwy and laurelton ave,-76.56038427,39.36728621,bioretention area in existing landscaping area to treat parking lot runoff,identified,1,100,1,130353.3,on site,"bioretention area, underdrain",high,medium,low,medium,hr_r_3,TRUE
4,,leith walk es,-76.5915542,39.36469402,,identified,0,0,0,0,,,,,,,hr_r_5,TRUE
5,,good samaritan hospital,-76.58624207,39.35720356,limited retrofit potential,identified,0,0,0,0,,,very low,,,very low,hr_r_7,TRUE
6,,mt pleasant park between perring pkwy echodale ave and herring run,-76.57440009,39.35342445,,identified,0,0,0,0,,,,,,,hr_r_8,TRUE
7,,mt pleasant park between echodale ave laurelton ave and herring run,-76.57338618,39.35466505,,identified,0,0,0,0,,,,,,,hr_r_9,TRUE
8,,morgan state university,-76.583452,39.34193026,,identified,0,0,0,0,,,,,,,hr_r_11,TRUE
9,,brehms lane es,-76.56654167,39.32161208,bioretention areas in existing depressions to treat stormwater runoff from disturbed pervious area,identified,1,40,0.4,56257.74,on site,"bioretention area, underdrain",high,medium,low,medium,hr_r_14,TRUE
10,,northeast ms,-76.5515817,39.32420187,,identified,0,0,0,0,,,,,,,hr_r_17,TRUE
11,,sinclair lane es,-76.56080832,39.31557288,bioretention area in existing landscaping area to treat stormwater runoff from parking lot and disturbed pervious area,identified,5,30,1.5,219542.4,on site,"bioretention area, underdrain",medium,medium,low,medium,hr_r_18,TRUE
